Data,Valor,Identificador,Descrição
01/07/2026,-10.90,6a456c6e-fcfa-44dc-9fa3-f57f2b0f409f,Compra no débito - BURGER KING
01/07/2026,-20.00,6a456f7e-3191-4a21-9b98-7b697b7b5f2d,Compra no débito - TARIFA TRANS*AT
02/07/2026,-19.57,12709835-b534-47b2-8154-100cf2352cd1,Compra no débito - CARREFOUR STO 248
03/07/2026,-56.50,a3053802-edd2-4dcd-bdb3-689cfd8aabb8,Compra no débito - ZIG*FORMOSA HIFI
05/07/2026,-33.80,eefbbdd8-cacf-4c81-a98b-3a92a6fa7d50,Compra no débito - NOVA ESTACAO MAUA
08/07/2026,-99.60,419effe8-23be-4272-8d1a-1b968764a962,Compra no débito - PONTO LIGHT COMERCIO D
10/07/2026,-25.00,3258d6a8-cfdb-45d9-8f2f-98e3d2f9accc,Compra no débito - QUIOSQUE DA COCADA
12/07/2026,150.00,47a8fc8e-5d62-4290-b26e-702bd41713a0,Transferência recebida pelo Pix - João Silva
15/07/2026,-12.21,8c94f558-02ed-44c3-9d25-6036bd150a95,Compra no débito - WKS ESTACAO CAFE LTDA
17/07/2026,-20.00,ec6a5f63-c730-458b-a72c-a60d00c0629f,Compra no débito - NeusaDelDuque
20/07/2026,22.17,5f76672f-493c-4d1b-bcdd-724f5d713975,Reembolso recebido pelo Pix - Moda Mundial Bra...
25/07/2026,-172.00,4169db11-9b85-4e1c-902b-97289bdfc53c,Compra no débito - SaborDaHora
28/07/2026,-2.00,76eb650a-17be-49de-b215-c27d3c74b9fa,Compra no débito - MP *GELADEIRA
29/07/2026,17.40,1d10a9e1-771a-4558-9f89-645609f514e5,Reembolso recebido pelo Pix - 99 TECNOLOGIA LT...
30/07/2026,26.60,f533049e-bd9e-4479-8e74-b6840053e8a6,Valor adicionado na conta por cartão de crédit...
31/07/2026,-20.34,ae389f42-afb5-4c52-b995-9795c8e9da48,Compra no débito - RealFood
